"department";"year";"yield";"area";"production"
"Ain";1900;NA;NA;NA
"Ain";1901;NA;NA;NA
"Ain";1902;NA;NA;NA
"Ain";1903;NA;NA;NA
"Ain";1904;NA;NA;NA
"Ain";1905;NA;NA;NA
"Ain";1906;NA;NA;NA
"Ain";1907;NA;NA;NA
"Ain";1908;NA;NA;NA
"Ain";1909;NA;NA;NA
"Ain";1910;NA;NA;NA
"Ain";1911;NA;NA;NA
"Ain";1912;NA;NA;NA
"Ain";1913;NA;NA;NA
"Ain";1914;NA;NA;NA
"Ain";1915;NA;NA;NA
"Ain";1916;NA;NA;NA
"Ain";1917;NA;NA;NA
"Ain";1918;NA;NA;NA
"Ain";1919;NA;NA;NA
"Ain";1920;NA;NA;NA
"Ain";1921;NA;NA;NA
"Ain";1922;NA;NA;NA
"Ain";1923;NA;NA;NA
"Ain";1924;NA;NA;NA
"Ain";1925;NA;NA;NA
"Ain";1926;NA;NA;NA
"Ain";1927;NA;NA;NA
"Ain";1928;NA;NA;NA
"Ain";1929;NA;NA;NA
"Ain";1930;NA;NA;NA
"Ain";1931;NA;NA;NA
"Ain";1932;NA;NA;NA
"Ain";1933;NA;NA;NA
"Ain";1934;NA;NA;NA
"Ain";1935;NA;NA;NA
"Ain";1936;NA;NA;NA
"Ain";1937;NA;NA;NA
"Ain";1938;NA;NA;NA
"Ain";1939;NA;NA;NA
"Ain";1940;NA;NA;NA
"Ain";1941;NA;NA;NA
"Ain";1942;NA;NA;NA
"Ain";1943;1;1969;1969
"Ain";1944;1;1807;1807
"Ain";1945;1;2400;2400
"Ain";1946;1.10115;2343;2580
"Ain";1947;1;1999;1999
"Ain";1948;0.9;2000;1800
"Ain";1949;1.1;2000;2200
"Ain";1950;1.1;2000;2200
"Ain";1951;NA;2100;NA
"Ain";1952;NA;2100;NA
"Ain";1953;NA;2600;NA
"Ain";1954;NA;2600;NA
"Ain";1955;NA;2650;NA
"Ain";1956;2;10000;20000
"Ain";1957;2;5800;11600
"Ain";1958;1.8;5800;10440
"Ain";1959;1.4;7500;10500
"Ain";1960;1.19481;7700;9200
"Ain";1961;1.7;10800;18360
"Ain";1962;1.6;8800;14080
"Ain";1963;2;12000;24000
"Ain";1964;NA;9000;3600
"Ain";1965;1.95;10000;19500
"Ain";1966;1.8;11000;19800
"Ain";1967;2.28;11000;25080
"Ain";1968;2.4;9000;21600
"Ain";1969;2.3;9000;20700
"Ain";1970;2.1;8500;17850
"Ain";1971;2.6;7000;18200
"Ain";1972;2.7;6000;16200
"Ain";1973;2.6;6000;15600
"Ain";1974;3;6000;18000
"Ain";1975;2.5;12000;30000
"Ain";1976;1.8;7000;12600
"Ain";1977;NA;6500;NA
"Ain";1978;3;4000;12000
"Ain";1979;3.2;4000;12800
"Ain";1980;NA;3000;590
"Ain";1981;3.8997;4002;15606.6
"Ain";1982;3.2;4015;12848
"Ain";1983;1.7;2000;3400
"Ain";1984;3.9;2500;9750
"Ain";1985;3.5;2000;7000
"Ain";1986;2.5;2000;5000
"Ain";1987;3.8;3000;11400
"Ain";1988;3.5;2600;9100
"Ain";1989;2.5;2000;5000
"Ain";1990;3.5;1500;5250
"Ain";1991;3.8;1200;4560
"Ain";1992;4.2;1200;5040
"Ain";1993;4.5;3000;13500
"Ain";1994;4.4;3000;13200
"Ain";1995;4;1600;6400
"Ain";1996;4.2;1200;5040
"Ain";1997;4.3;1200;5160
"Ain";1998;4.8;1000;4800
"Ain";1999;3.8;900;3420
"Ain";2000;5.2;600;3120
"Ain";2001;4;308;1232
"Ain";2002;5;529;2645
"Ain";2003;4;870;3480
"Ain";2004;4;559;2236
"Ain";2005;4;1149;4596
"Ain";2006;3.5;473;1655.5
"Ain";2007;3.5;243;850.5
"Ain";2008;3.5;200;700
"Ain";2009;5;514;2570
"Ain";2010;5;145;725
"Ain";2011;3.5;300;1050
"Ain";2012;5.5;220;1210
"Ain";2013;5;115;575
"Ain";2014;6;410;2460
"Ain";2015;4.5;175;787.5
"Ain";2016;3;120;360
"Ain";2017;5;200;1000
"Ain";2018;5;100;500
"Aisne";1900;NA;NA;NA
"Aisne";1901;NA;NA;NA
"Aisne";1902;NA;NA;NA
"Aisne";1903;NA;NA;NA
"Aisne";1904;NA;NA;NA
"Aisne";1905;NA;NA;NA
"Aisne";1906;NA;NA;NA
"Aisne";1907;NA;NA;NA
"Aisne";1908;NA;NA;NA
"Aisne";1909;NA;NA;NA
"Aisne";1910;NA;NA;NA
"Aisne";1911;NA;NA;NA
"Aisne";1912;NA;NA;NA
"Aisne";1913;NA;NA;NA
"Aisne";1914;NA;NA;NA
"Aisne";1915;NA;NA;NA
"Aisne";1916;NA;NA;NA
"Aisne";1917;NA;NA;NA
"Aisne";1918;NA;NA;NA
"Aisne";1919;NA;NA;NA
"Aisne";1920;NA;NA;NA
"Aisne";1921;NA;NA;NA
"Aisne";1922;NA;NA;NA
"Aisne";1923;NA;NA;NA
"Aisne";1924;NA;NA;NA
"Aisne";1925;NA;NA;NA
"Aisne";1926;NA;NA;NA
"Aisne";1927;NA;NA;NA
"Aisne";1928;NA;NA;NA
"Aisne";1929;NA;NA;NA
"Aisne";1930;NA;NA;NA
"Aisne";1931;NA;NA;NA
"Aisne";1932;NA;NA;NA
"Aisne";1933;NA;NA;NA
"Aisne";1934;NA;NA;NA
"Aisne";1935;NA;NA;NA
"Aisne";1936;NA;NA;NA
"Aisne";1937;NA;NA;NA
"Aisne";1938;NA;NA;NA
"Aisne";1939;NA;NA;NA
"Aisne";1940;NA;NA;NA
"Aisne";1941;NA;NA;NA
"Aisne";1942;NA;NA;NA
"Aisne";1943;1.8;7750;13950
"Aisne";1944;1;6000;6000
"Aisne";1945;1.3;6000;7800
"Aisne";1946;1.4;5330;7462
"Aisne";1947;1.3;15600;20280
"Aisne";1948;1.7;9400;15980
"Aisne";1949;2.2;10710;23562
"Aisne";1950;2.5;12700;31750
"Aisne";1951;NA;4000;NA
"Aisne";1952;NA;6000;NA
"Aisne";1953;NA;8500;NA
"Aisne";1954;NA;10500;NA
"Aisne";1955;NA;11500;NA
"Aisne";1956;4;50000;2e+05
"Aisne";1957;3.5;16000;56000
"Aisne";1958;3.3;18000;59400
"Aisne";1959;3.3;43000;141900
"Aisne";1960;3.5;48000;168000
