"department";"year";"yield";"area";"production"
"Ain";1900;NA;NA;NA
"Ain";1901;NA;NA;NA
"Ain";1902;NA;NA;NA
"Ain";1903;NA;NA;NA
"Ain";1904;NA;NA;NA
"Ain";1905;NA;NA;NA
"Ain";1906;NA;NA;NA
"Ain";1907;NA;NA;NA
"Ain";1908;NA;NA;NA
"Ain";1909;NA;NA;NA
"Ain";1910;NA;NA;NA
"Ain";1911;NA;NA;NA
"Ain";1912;NA;NA;NA
"Ain";1913;NA;NA;NA
"Ain";1914;NA;NA;NA
"Ain";1915;NA;NA;NA
"Ain";1916;NA;NA;NA
"Ain";1917;NA;NA;NA
"Ain";1918;NA;NA;NA
"Ain";1919;NA;NA;NA
"Ain";1920;NA;NA;NA
"Ain";1921;NA;NA;NA
"Ain";1922;NA;NA;NA
"Ain";1923;NA;NA;NA
"Ain";1924;NA;NA;NA
"Ain";1925;NA;NA;NA
"Ain";1926;NA;NA;NA
"Ain";1927;NA;NA;NA
"Ain";1928;NA;NA;NA
"Ain";1929;NA;NA;NA
"Ain";1930;NA;NA;NA
"Ain";1931;NA;NA;NA
"Ain";1932;NA;NA;NA
"Ain";1933;NA;NA;NA
"Ain";1934;NA;NA;NA
"Ain";1935;NA;NA;NA
"Ain";1936;NA;NA;NA
"Ain";1937;NA;NA;NA
"Ain";1938;NA;NA;NA
"Ain";1939;NA;NA;NA
"Ain";1940;NA;NA;NA
"Ain";1941;NA;NA;NA
"Ain";1942;NA;NA;NA
"Ain";1943;1.2;339;406.8
"Ain";1944;1.1;283;311.3
"Ain";1945;1;450;450
"Ain";1946;1.10029;678;746
"Ain";1947;1;1042;1042
"Ain";1948;1.2;1000;1200
"Ain";1949;1.2;1000;1200
"Ain";1950;1.4;1100;1540
"Ain";1951;1.3;1100;1430
"Ain";1952;1.39167;1200;1670
"Ain";1953;1.65714;1400;2320
"Ain";1954;1.6;1400;2240
"Ain";1955;1.49655;1450;2170
"Ain";1956;NA;200;140
"Ain";1957;2;200;400
"Ain";1958;NA;NA;360
"Ain";1959;NA;NA;540
"Ain";1960;NA;NA;600
"Ain";1961;1.6;1200;1920
"Ain";1962;1.8;1200;2160
"Ain";1963;1.8;1000;1800
"Ain";1964;NA;2000;19800
"Ain";1965;2.1;2000;4200
"Ain";1966;1.9;2000;3800
"Ain";1967;2.4;2000;4800
"Ain";1968;2.5;3000;7500
"Ain";1969;2.4;3500;8400
"Ain";1970;NA;5500;13200
"Ain";1971;3.2;6000;19200
"Ain";1972;3.4;7000;23800
"Ain";1973;3.5;7000;24500
"Ain";1974;3.4;9000;30600
"Ain";1975;3.5;5000;17500
"Ain";1976;3.6;9000;32400
"Ain";1977;3.3;13000;42900
"Ain";1978;3.5;16000;56000
"Ain";1979;4.10769;13000;53400
"Ain";1980;4.14141;12800;53010
"Ain";1981;4.07708;13036;53148.8
"Ain";1982;4.2;12050;50610
"Ain";1983;2.8;12500;35000
"Ain";1984;5;13000;65000
"Ain";1985;4.3;13500;58050
"Ain";1986;3.8;10900;41420
"Ain";1987;5.2;12000;62400
"Ain";1988;4.1;10500;43050
"Ain";1989;5.5;11000;60500
"Ain";1990;4.8;11000;52800
"Ain";1991;5.2;11500;59800
"Ain";1992;5.2;9500;49400
"Ain";1993;5;7500;37500
"Ain";1994;4.7;7300;34310
"Ain";1995;5.5;8300;45650
"Ain";1996;5.8;8600;49880
"Ain";1997;5.8;8500;49300
"Ain";1998;NA;8500;55250
"Ain";1999;5.1;7500;38250
"Ain";2000;6.2;7000;43400
"Ain";2001;5;6704;33520
"Ain";2002;7;7008;49056
"Ain";2003;5;6510;32550
"Ain";2004;7;7516;52612
"Ain";2005;6;7019;42114
"Ain";2006;6.5;7625;49562.5
"Ain";2007;6.1;8231;50209.1
"Ain";2008;5.9;8145;48055.5
"Ain";2009;6.5;9144;59436
"Ain";2010;6.4;7988;51123.2
"Ain";2011;6;6700;40200
"Ain";2012;6.1;6830;41663
"Ain";2013;5;6980;34900
"Ain";2014;6.8;6940;47192
"Ain";2015;7;7990;55930
"Ain";2016;5.5;9410;51755
"Ain";2017;6.6;9100;60060
"Ain";2018;6.2;8770;54374
"Aisne";1900;NA;NA;NA
"Aisne";1901;NA;NA;NA
"Aisne";1902;NA;NA;NA
"Aisne";1903;NA;NA;NA
"Aisne";1904;NA;NA;NA
"Aisne";1905;NA;NA;NA
"Aisne";1906;NA;NA;NA
"Aisne";1907;NA;NA;NA
"Aisne";1908;NA;NA;NA
"Aisne";1909;NA;NA;NA
"Aisne";1910;NA;NA;NA
"Aisne";1911;NA;NA;NA
"Aisne";1912;NA;NA;NA
"Aisne";1913;NA;NA;NA
"Aisne";1914;NA;NA;NA
"Aisne";1915;NA;NA;NA
"Aisne";1916;NA;NA;NA
"Aisne";1917;NA;NA;NA
"Aisne";1918;NA;NA;NA
"Aisne";1919;NA;NA;NA
"Aisne";1920;NA;NA;NA
"Aisne";1921;NA;NA;NA
"Aisne";1922;NA;NA;NA
"Aisne";1923;NA;NA;NA
"Aisne";1924;NA;NA;NA
"Aisne";1925;NA;NA;NA
"Aisne";1926;NA;NA;NA
"Aisne";1927;NA;NA;NA
"Aisne";1928;NA;NA;NA
"Aisne";1929;NA;NA;NA
"Aisne";1930;NA;NA;NA
"Aisne";1931;NA;NA;NA
"Aisne";1932;NA;NA;NA
"Aisne";1933;NA;NA;NA
"Aisne";1934;NA;NA;NA
"Aisne";1935;NA;NA;NA
"Aisne";1936;NA;NA;NA
"Aisne";1937;NA;NA;NA
"Aisne";1938;NA;NA;NA
"Aisne";1939;NA;NA;NA
"Aisne";1940;NA;NA;NA
"Aisne";1941;NA;NA;NA
"Aisne";1942;NA;NA;NA
"Aisne";1943;1.8;8050;14490
"Aisne";1944;1.8;8500;15300
"Aisne";1945;1.3;8000;10400
"Aisne";1946;1.4;9250;12950
"Aisne";1947;1.3;2800;3640
"Aisne";1948;1.7;7600;12920
"Aisne";1949;2.2;8250;18150
"Aisne";1950;2.5;7500;18750
"Aisne";1951;2.4;16000;38400
"Aisne";1952;2.2;15000;33000
"Aisne";1953;2.6;15200;39520
"Aisne";1954;3.3;15500;51150
"Aisne";1955;NA;20500;73800
"Aisne";1956;NA;4000;16000
"Aisne";1957;3.5;20000;70000
"Aisne";1958;NA;NA;79200
