"department";"year";"yield";"area";"production"
"Ain";1900;NA;NA;NA
"Ain";1901;NA;NA;NA
"Ain";1902;NA;NA;NA
"Ain";1903;NA;NA;NA
"Ain";1904;NA;NA;NA
"Ain";1905;NA;NA;NA
"Ain";1906;NA;NA;NA
"Ain";1907;NA;NA;NA
"Ain";1908;NA;NA;NA
"Ain";1909;NA;NA;NA
"Ain";1910;NA;NA;NA
"Ain";1911;NA;NA;NA
"Ain";1912;NA;NA;NA
"Ain";1913;NA;NA;NA
"Ain";1914;NA;NA;NA
"Ain";1915;NA;NA;NA
"Ain";1916;NA;NA;NA
"Ain";1917;NA;NA;NA
"Ain";1918;NA;NA;NA
"Ain";1919;NA;NA;NA
"Ain";1920;NA;NA;NA
"Ain";1921;NA;NA;NA
"Ain";1922;NA;NA;NA
"Ain";1923;NA;NA;NA
"Ain";1924;NA;NA;NA
"Ain";1925;NA;NA;NA
"Ain";1926;NA;NA;NA
"Ain";1927;NA;NA;NA
"Ain";1928;NA;NA;NA
"Ain";1929;NA;NA;NA
"Ain";1930;NA;NA;NA
"Ain";1931;NA;NA;NA
"Ain";1932;NA;NA;NA
"Ain";1933;NA;NA;NA
"Ain";1934;NA;NA;NA
"Ain";1935;NA;NA;NA
"Ain";1936;NA;NA;NA
"Ain";1937;NA;NA;NA
"Ain";1938;NA;NA;NA
"Ain";1939;NA;NA;NA
"Ain";1940;NA;NA;NA
"Ain";1941;NA;NA;NA
"Ain";1942;NA;NA;NA
"Ain";1943;1;425;425
"Ain";1944;0.8;806;644.8
"Ain";1945;0.9;820;738
"Ain";1946;1;1203;1203
"Ain";1947;1;1383;1383
"Ain";1948;1.1;1300;1430
"Ain";1949;1.1;1300;1430
"Ain";1950;1.2;1500;1800
"Ain";1951;1.3375;1600;2140
"Ain";1952;1.35882;1700;2310
"Ain";1953;1.69767;2150;3650
"Ain";1954;1.5;2100;3150
"Ain";1955;1.6;2050;3280
"Ain";1956;NA;NA;NA
"Ain";1957;NA;NA;NA
"Ain";1958;NA;NA;NA
"Ain";1959;NA;NA;NA
"Ain";1960;NA;NA;NA
"Ain";1961;1.5;1000;1500
"Ain";1962;1.6;1000;1600
"Ain";1963;1.4;1000;1400
"Ain";1964;1;900;900
"Ain";1965;0.95556;900;860
"Ain";1966;1.1;900;990
"Ain";1967;1.8;1500;2700
"Ain";1968;1.8;1000;1800
"Ain";1969;1.8;500;900
"Ain";1970;2;500;1000
"Ain";1971;2.3;500;1150
"Ain";1972;2.6;500;1300
"Ain";1973;2.6;500;1300
"Ain";1974;2.8;300;840
"Ain";1975;2.8;100;280
"Ain";1976;2.5;200;500
"Ain";1977;2.6;200;520
"Ain";1978;NA;300;1050
"Ain";1979;3;600;1800
"Ain";1980;4;1000;4000
"Ain";1981;3.8;1000;3800
"Ain";1982;3.8;1000;3800
"Ain";1983;NA;1000;2600
"Ain";1984;4.2;1200;5040
"Ain";1985;3.6;1200;4320
"Ain";1986;3;700;2100
"Ain";1987;3.6;600;2160
"Ain";1988;3.5;800;2800
"Ain";1989;3.5;800;2800
"Ain";1990;3.5;933;3265.5
"Ain";1991;4;870;3480
"Ain";1992;4;812;3248
"Ain";1993;4;530;2120
"Ain";1994;3.6;565;2034
"Ain";1995;4;461;1844
"Ain";1996;5;369;1845
"Ain";1997;4.7;516;2425.2
"Ain";1998;5.3;482;2554.6
"Ain";1999;4.5;400;1800
"Ain";2000;4.6;400;1840
"Ain";2001;4;411;1644
"Ain";2002;5;422;2110
"Ain";2003;3.6;541;1947.6
"Ain";2004;5;1111;5555
"Ain";2005;4;342;1368
"Ain";2006;4.3;351;1509.3
"Ain";2007;4;361;1444
"Ain";2008;5;309;1545
"Ain";2009;5.4;418;2257.2
"Ain";2010;5.2;390;2028
"Ain";2011;4.8;300;1440
"Ain";2012;5;240;1200
"Ain";2013;4.5;250;1125
"Ain";2014;5;270;1350
"Ain";2015;5;250;1250
"Ain";2016;NA;270;810
"Ain";2017;5.7;560;3192
"Ain";2018;5.6;760;4256
"Aisne";1900;NA;NA;NA
"Aisne";1901;NA;NA;NA
"Aisne";1902;NA;NA;NA
"Aisne";1903;NA;NA;NA
"Aisne";1904;NA;NA;NA
"Aisne";1905;NA;NA;NA
"Aisne";1906;NA;NA;NA
"Aisne";1907;NA;NA;NA
"Aisne";1908;NA;NA;NA
"Aisne";1909;NA;NA;NA
"Aisne";1910;NA;NA;NA
"Aisne";1911;NA;NA;NA
"Aisne";1912;NA;NA;NA
"Aisne";1913;NA;NA;NA
"Aisne";1914;NA;NA;NA
"Aisne";1915;NA;NA;NA
"Aisne";1916;NA;NA;NA
"Aisne";1917;NA;NA;NA
"Aisne";1918;NA;NA;NA
"Aisne";1919;NA;NA;NA
"Aisne";1920;NA;NA;NA
"Aisne";1921;NA;NA;NA
"Aisne";1922;NA;NA;NA
"Aisne";1923;NA;NA;NA
"Aisne";1924;NA;NA;NA
"Aisne";1925;NA;NA;NA
"Aisne";1926;NA;NA;NA
"Aisne";1927;NA;NA;NA
"Aisne";1928;NA;NA;NA
"Aisne";1929;NA;NA;NA
"Aisne";1930;NA;NA;NA
"Aisne";1931;NA;NA;NA
"Aisne";1932;NA;NA;NA
"Aisne";1933;NA;NA;NA
"Aisne";1934;NA;NA;NA
"Aisne";1935;NA;NA;NA
"Aisne";1936;NA;NA;NA
"Aisne";1937;NA;NA;NA
"Aisne";1938;NA;NA;NA
"Aisne";1939;NA;NA;NA
"Aisne";1940;NA;NA;NA
"Aisne";1941;NA;NA;NA
"Aisne";1942;NA;NA;NA
"Aisne";1943;1.8;1500;2700
"Aisne";1944;1.2;2000;2400
"Aisne";1945;1.3;2000;2600
"Aisne";1946;1.6;3020;4832
"Aisne";1947;1.1;1870;2057
"Aisne";1948;1.3;3700;4810
"Aisne";1949;1.8;2740;4932
"Aisne";1950;1.72333;3000;5170
"Aisne";1951;2;7000;14000
"Aisne";1952;1.8;8000;14400
"Aisne";1953;2.2;NA;18040
"Aisne";1954;NA;6200;NA
"Aisne";1955;NA;4000;14400
"Aisne";1956;NA;NA;NA
"Aisne";1957;NA;NA;NA
"Aisne";1958;NA;NA;NA
"Aisne";1959;NA;2000;6000
"Aisne";1960;2.8;1000;2800
"Aisne";1961;2.8;1000;2800
"Aisne";1962;3;500;1500
