"department";"year";"yield";"area";"production"
"Ain";1900;14.41668;18278;263508
"Ain";1901;7.09542;17302;122765
"Ain";1902;8.31567;18038;149998.1
"Ain";1903;7.75372;16885;130921.5
"Ain";1904;9.1;17025;154927.5
"Ain";1905;9.65;17542;169280.3
"Ain";1906;6.62;18278;121000.3
"Ain";1907;10.22;18216;186167.5
"Ain";1908;NA;18320;NA
"Ain";1909;12.9;18570;239553
"Ain";1910;5.8;18760;108808
"Ain";1911;11.7;19050;222885
"Ain";1912;16;18820;301120
"Ain";1913;12.5;17750;221875
"Ain";1914;9.20002;18388;169170
"Ain";1915;7.5;17320;129900
"Ain";1916;6.2;15310;94922
"Ain";1917;NA;21620;NA
"Ain";1918;6;18630;111780
"Ain";1919;3.5;16170;56595
"Ain";1920;5;14150;70750
"Ain";1921;3.8;16410;62358
"Ain";1922;10;15340;153400
"Ain";1923;5;15220;76100
"Ain";1924;NA;15150;NA
"Ain";1925;6;15100;90600
"Ain";1926;4;15100;60400
"Ain";1927;12;15300;183600
"Ain";1928;6.1704;15170;93605
"Ain";1929;12.5;13000;162500
"Ain";1930;7;13510;94570
"Ain";1931;13.5;14010;189135
"Ain";1932;9;14040;126360
"Ain";1933;12;13530;162360
"Ain";1934;12;13880;166560
"Ain";1935;9;14410;129690
"Ain";1936;9;14210;127890
"Ain";1937;11.60554;14450;167700
"Ain";1938;15.33976;14154;217119
"Ain";1939;7;13315;93205
"Ain";1940;10.18666;8454;86118
"Ain";1941;6.47136;4819;31185.5
"Ain";1942;7.47525;7070;52850
"Ain";1943;9.93208;6449;64052
"Ain";1944;9;102;918
"Ain";1945;6;6540;39240
"Ain";1946;8.96552;290;2600
"Ain";1947;NA;340;6800
"Ain";1948;10;350;3500
"Ain";1949;6.61589;7550;49950
"Ain";1950;13.82927;8200;113400
"Ain";1951;9.85495;9100;89680
"Ain";1952;10;8400;84000
"Ain";1953;15.69492;8850;138900
"Ain";1954;17.68786;8650;153000
"Ain";1955;15.84024;8450;133850
"Ain";1956;15.14286;9450;143100
"Ain";1957;15.93333;7500;119500
"Ain";1958;18.92105;7600;143800
"Ain";1959;12.23684;7600;93000
