"department";"year";"yield";"area";"production"
"Ain";1900;NA;NA;NA
"Ain";1901;NA;NA;NA
"Ain";1902;NA;NA;NA
"Ain";1903;NA;NA;NA
"Ain";1904;NA;NA;NA
"Ain";1905;NA;NA;NA
"Ain";1906;NA;NA;NA
"Ain";1907;NA;NA;NA
"Ain";1908;NA;NA;NA
"Ain";1909;NA;NA;NA
"Ain";1910;NA;NA;NA
"Ain";1911;NA;NA;NA
"Ain";1912;NA;NA;NA
"Ain";1913;NA;NA;NA
"Ain";1914;NA;NA;NA
"Ain";1915;NA;NA;NA
"Ain";1916;NA;NA;NA
"Ain";1917;NA;NA;NA
"Ain";1918;NA;NA;NA
"Ain";1919;NA;NA;NA
"Ain";1920;NA;NA;NA
"Ain";1921;NA;NA;NA
"Ain";1922;NA;NA;NA
"Ain";1923;NA;NA;NA
"Ain";1924;NA;NA;NA
"Ain";1925;NA;NA;NA
"Ain";1926;NA;NA;NA
"Ain";1927;NA;NA;NA
"Ain";1928;NA;NA;NA
"Ain";1929;NA;NA;NA
"Ain";1930;NA;NA;NA
"Ain";1931;NA;NA;NA
"Ain";1932;NA;NA;NA
"Ain";1933;NA;NA;NA
"Ain";1934;NA;NA;NA
"Ain";1935;NA;NA;NA
"Ain";1936;NA;NA;NA
"Ain";1937;NA;NA;NA
"Ain";1938;NA;NA;NA
"Ain";1939;NA;NA;NA
"Ain";1940;NA;NA;NA
"Ain";1941;NA;NA;NA
"Ain";1942;NA;NA;NA
"Ain";1943;1.2;49;58.8
"Ain";1944;0.00202;494;1
"Ain";1945;0.4;45;18
"Ain";1946;0.5;52;26
"Ain";1947;0.3;50;15
"Ain";1948;NA;NA;NA
"Ain";1949;NA;NA;NA
"Ain";1950;NA;NA;NA
"Ain";1951;NA;NA;NA
"Ain";1952;NA;NA;NA
"Ain";1953;NA;NA;NA
"Ain";1954;NA;NA;NA
"Ain";1955;NA;NA;NA
"Ain";1956;0.8;200;160
"Ain";1957;NA;NA;NA
"Ain";1958;NA;NA;NA
"Ain";1959;NA;NA;NA
"Ain";1960;NA;NA;NA
"Ain";1961;NA;NA;NA
"Ain";1962;NA;NA;NA
"Ain";1963;NA;NA;NA
"Ain";1964;NA;NA;NA
"Ain";1965;NA;NA;NA
"Ain";1966;NA;NA;NA
"Ain";1967;NA;NA;NA
"Ain";1968;NA;5400;NA
"Ain";1969;NA;NA;NA
"Ain";1970;NA;NA;NA
"Ain";1971;NA;NA;NA
"Ain";1972;NA;NA;NA
"Ain";1973;NA;NA;NA
"Ain";1974;NA;NA;NA
"Ain";1975;NA;NA;NA
"Ain";1976;NA;NA;NA
"Ain";1977;NA;NA;NA
"Ain";1978;NA;NA;NA
"Ain";1979;NA;NA;NA
"Ain";1980;NA;NA;NA
"Ain";1981;NA;10400;NA
"Ain";1982;NA;NA;NA
"Ain";1983;NA;NA;NA
"Ain";1984;NA;NA;NA
"Ain";1985;NA;NA;NA
"Ain";1986;NA;NA;NA
"Ain";1987;NA;NA;NA
"Ain";1988;NA;NA;NA
"Ain";1989;NA;NA;NA
"Ain";1990;NA;NA;NA
"Ain";1991;NA;NA;NA
"Ain";1992;NA;NA;NA
"Ain";1993;NA;NA;NA
"Ain";1994;NA;NA;NA
"Ain";1995;NA;NA;NA
"Ain";1996;NA;NA;NA
"Ain";1997;NA;NA;NA
"Ain";1998;NA;NA;NA
"Ain";1999;NA;NA;NA
"Ain";2000;NA;NA;NA
"Ain";2001;NA;NA;NA
"Ain";2002;NA;NA;NA
"Ain";2003;NA;NA;NA
"Ain";2004;NA;NA;NA
"Ain";2005;NA;NA;NA
"Ain";2006;NA;NA;NA
"Ain";2007;NA;NA;NA
"Ain";2008;NA;NA;NA
"Ain";2009;NA;NA;NA
"Ain";2010;NA;NA;NA
"Ain";2011;NA;NA;NA
"Ain";2012;NA;NA;NA
"Ain";2013;NA;NA;NA
"Ain";2014;NA;0;0
"Ain";2015;NA;0;0
"Ain";2016;NA;0;NA
"Ain";2017;NA;0;NA
"Ain";2018;NA;0;NA
"Aisne";1900;NA;NA;NA
"Aisne";1901;NA;NA;NA
"Aisne";1902;NA;NA;NA
"Aisne";1903;NA;NA;NA
"Aisne";1904;NA;NA;NA
"Aisne";1905;NA;NA;NA
"Aisne";1906;NA;NA;NA
"Aisne";1907;NA;NA;NA
"Aisne";1908;NA;NA;NA
"Aisne";1909;NA;NA;NA
"Aisne";1910;NA;NA;NA
"Aisne";1911;NA;NA;NA
"Aisne";1912;NA;NA;NA
"Aisne";1913;NA;NA;NA
"Aisne";1914;NA;NA;NA
"Aisne";1915;NA;NA;NA
"Aisne";1916;NA;NA;NA
"Aisne";1917;NA;NA;NA
"Aisne";1918;NA;NA;NA
"Aisne";1919;NA;NA;NA
"Aisne";1920;NA;NA;NA
"Aisne";1921;NA;NA;NA
"Aisne";1922;NA;NA;NA
"Aisne";1923;NA;NA;NA
"Aisne";1924;NA;NA;NA
"Aisne";1925;NA;NA;NA
"Aisne";1926;NA;NA;NA
"Aisne";1927;NA;NA;NA
"Aisne";1928;NA;NA;NA
"Aisne";1929;NA;NA;NA
"Aisne";1930;NA;NA;NA
"Aisne";1931;NA;NA;NA
"Aisne";1932;NA;NA;NA
"Aisne";1933;NA;NA;NA
"Aisne";1934;NA;NA;NA
"Aisne";1935;NA;NA;NA
"Aisne";1936;NA;NA;NA
"Aisne";1937;NA;NA;NA
"Aisne";1938;NA;NA;NA
"Aisne";1939;NA;NA;NA
"Aisne";1940;NA;NA;NA
"Aisne";1941;NA;NA;NA
"Aisne";1942;NA;NA;NA
"Aisne";1943;1.2;50;60
"Aisne";1944;0.05;3000;150
"Aisne";1945;0.7;330;231
"Aisne";1946;1.2;520;624
"Aisne";1947;1.2;720;864
"Aisne";1948;1.5;2265;3397.5
"Aisne";1949;1.8;2840;5112
"Aisne";1950;1.18889;3600;4280
"Aisne";1951;1.2;400;480
"Aisne";1952;1.2;300;360
"Aisne";1953;NA;NA;NA
"Aisne";1954;NA;NA;NA
"Aisne";1955;NA;NA;NA
"Aisne";1956;1.3;500;650
"Aisne";1957;NA;NA;NA
"Aisne";1958;NA;NA;NA
"Aisne";1959;NA;NA;NA
"Aisne";1960;NA;NA;NA
"Aisne";1961;1.9;400;760
"Aisne";1962;2;2000;4000
