"department";"year";"yield";"area";"production"
"Ain";1900;29.51;16121;475663
"Ain";1901;28.49;16093;458559
"Ain";1902;34.25;15161;519218
"Ain";1903;21.25;16663;354080
"Ain";1904;33.34;16863;562255
"Ain";1905;38.13;17126;653000
"Ain";1906;31.64;17117;541500
"Ain";1907;26.93;15940;429288
"Ain";1908;NA;16032;797715
"Ain";1909;31.21;16060;501237
"Ain";1910;NA;15841;94523
"Ain";1911;27.43;15812;433675
"Ain";1912;34.01;14609;496841
"Ain";1913;23.29;14237;331569
"Ain";1914;26.39;14211;375057
"Ain";1915;22.14;13937;308602
"Ain";1916;24.47;13523;330902
"Ain";1917;21.92;12975;284458
"Ain";1918;29.9;12879;385084
"Ain";1919;41.87;12822;536909
"Ain";1920;40.61;12903;524000
"Ain";1921;30.35;11680;354490
"Ain";1922;51.14;11830;605000
"Ain";1923;38.25;12330;471620
"Ain";1924;45.8;12990;594940
"Ain";1925;48.7;11300;550310
"Ain";1926;22;11320;249040
"Ain";1927;37.73;11330;427430
"Ain";1928;36.7;11070;406270
"Ain";1929;39.5;11170;441210
"Ain";1930;28.5;11510;328030
"Ain";1931;37.02;11380;421310
"Ain";1932;43;10110;434730
"Ain";1933;25;9500;237500
"Ain";1934;53.44;10060;537610
"Ain";1935;53;10010;530530
"Ain";1936;24;9700;232800
"Ain";1937;43;9480;407640
"Ain";1938;29;9563;277327
"Ain";1939;37;9471;350427
"Ain";1940;29.8;7971;237536
"Ain";1941;23;7945;182735
"Ain";1942;25;7517;187925
"Ain";1943;27;7447;201069
"Ain";1944;25;6105;152625
"Ain";1945;20;6300;126000
"Ain";1946;28.01;7730;216500
"Ain";1947;NA;7980;303240
"Ain";1948;32;8070;258240
"Ain";1949;28;8070;225960
"Ain";1950;42.82;6500;278300
"Ain";1951;32.41;6212;201319
"Ain";1952;38.77;6500;252000
"Ain";1953;37;5816;215172
"Ain";1954;43.73;6085;266103
"Ain";1955;42.24;5825;246070
"Ain";1956;27.2;5169;140616
"Ain";1957;21.66;4711;102029
"Ain";1958;42.77;4791;204890
"Ain";1959;45.26;4600;208200
"Ain";1960;NA;4700;257700
"Ain";1961;31.04;5500;170700
"Ain";1962;37.35;5200;194200
"Ain";1963;34.98;5000;174900
"Ain";1964;38.78;4900;190000
"Ain";1965;44.82;3800;170300
"Ain";1966;45.67;3600;164400
"Ain";1967;35.34;3500;123700
"Ain";1968;44.43;3311;147100
"Ain";1969;35.27;3300;116400
"Ain";1970;48.31;2900;140100
"Ain";1971;33.46;2800;93700
"Ain";1972;40.41;2700;109100
"Ain";1973;49.9;2625;131000
"Ain";1974;37.35;2589;96700
"Ain";1975;37.55;2370;89000
"Ain";1976;41.61;2319;96500
"Ain";1977;34.45;2270;78200
"Ain";1978;41.69;2166;90300
"Ain";1979;39.38;2047;80620.16
"Ain";1980;34.1;1944;66300
"Ain";1981;36.72;1932;70934.88
"Ain";1982;64.06;1808;115813.95
"Ain";1983;53.13;1710;90852.71
"Ain";1984;48.39;1666;80620.16
"Ain";1985;40.61;1567;63643.41
"Ain";1986;62.55;1559;97519.38
"Ain";1987;48.42;1481;71705.43
"Ain";1988;50.39;1384;69736.43
"Ain";1989;55.97;1335;74723
"Ain";1990;55.47;1295;71840
"Ain";1991;41.6;1239;51544
"Ain";1992;58.89;1180;69486
"Ain";1993;53.85;1146;61707
"Ain";1994;56.66;1109;62840
"Ain";1995;50.5;1090;55043
"Ain";1996;59.84;1044;62472
"Ain";1997;47.12;1023;48200
"Ain";1998;48.91;1008;49300
"Ain";1999;55.49;992;55046
"Ain";2000;62.51;958;59886
"Ain";2001;54.97;945;51948
"Ain";2002;52.71;933;49176
"Ain";2003;NA;922;38563
"Ain";2004;59.93;902;54060
"Ain";2005;57.35;895;51326
"Ain";2006;58.63;888;52060
"Ain";2007;53.84;867;46680
"Ain";2008;50.14;858;43016
"Ain";2009;56.25;826;46464
"Ain";2010;52.03;872;45370
"Ain";2011;64.89;822;53338
"Ain";2012;39.62;864;34228
"Ain";2013;48.02;803;38559
"Ain";2014;54;772;42031
"Ain";2015;52;758;39233
"Ain";2016;58;778;45400
"Aisne";1900;33;2197;72500
"Aisne";1901;45.33;1880;85220
"Aisne";1902;9.5;1831;17399
"Aisne";1903;43.32;1824;79012
"Aisne";1904;53.62;1921;103000
"Aisne";1905;17.32;2021;35000
"Aisne";1906;47.41;1953;92600
"Aisne";1907;18.87;1919;36206
"Aisne";1908;17.86;1766;31540
"Aisne";1909;6.71;1785;11984
"Aisne";1910;0.88;1719;1518
"Aisne";1911;10.32;1659;17117
"Aisne";1912;36.69;942;34558
"Aisne";1913;9.76;771;7527
"Aisne";1914;22.78;736;16768
"Aisne";1915;53.74;751;40360
"Aisne";1916;13.44;751;10095
"Aisne";1917;21.25;751;15957
"Aisne";1918;7.03;704;4949
"Aisne";1919;39.65;690;27356
"Aisne";1920;44.14;728;32132
"Aisne";1921;40;760;30400
"Aisne";1922;56.62;740;41900
"Aisne";1923;20;660;13200
"Aisne";1924;51;720;36720
"Aisne";1925;32.2;740;23830
"Aisne";1926;16.3;760;12390
"Aisne";1927;20;770;15400
"Aisne";1928;21.5;700;15050
"Aisne";1929;70;700;49000
"Aisne";1930;14;700;9800
"Aisne";1931;17;710;12070
"Aisne";1932;26.58;790;21000
"Aisne";1933;26.11;730;19060
"Aisne";1934;65.33;730;47690
"Aisne";1935;47;730;34310
"Aisne";1936;32.27;730;23560
"Aisne";1937;32.32;630;20360
"Aisne";1938;59.65;637;38000
"Aisne";1939;41.33;644;26614
"Aisne";1940;35;481;16835
"Aisne";1941;25;428;10700
"Aisne";1942;30;500;15000
"Aisne";1943;32;500;16000
"Aisne";1944;25;455;11375
"Aisne";1945;41.45;509;21100
"Aisne";1946;16.83;654;11010
"Aisne";1947;27;619;16713
"Aisne";1948;31.5;619;19500
"Aisne";1949;31.04;578;17941
"Aisne";1950;NA;100;21100
"Aisne";1951;20.97;523;10965
"Aisne";1952;29.5;600;17700
"Aisne";1953;33.69;519;17487
"Aisne";1954;31.07;644;20007
"Aisne";1955;43.98;573;25201
"Aisne";1956;26.53;592;15706
"Aisne";1957;7.09;548;3883
"Aisne";1958;22.37;787;17603
"Aisne";1959;49.17;600;29500
"Aisne";1960;35.3;1000;35300
"Aisne";1961;37;600;22200
"Aisne";1962;49.5;600;29700
"Aisne";1963;59.33;600;35600
"Aisne";1964;62.17;600;37300
"Aisne";1965;40.43;700;28300
"Aisne";1966;45.57;700;31900
"Aisne";1967;52.86;700;37000
"Aisne";1968;45.57;768;35000
"Aisne";1969;33.12;800;26500
"Aisne";1970;90.12;800;72100
"Aisne";1971;32.25;800;25800
"Aisne";1972;69.56;900;62600
"Aisne";1973;79.82;976;77900
"Aisne";1974;61.39;1023;62800
"Aisne";1975;61.27;1304;79900
"Aisne";1976;73.16;1304;95400
"Aisne";1977;64.14;1358;87100
"Aisne";1978;17.85;1361;24300
"Aisne";1979;50.33;1380;69457.36
"Aisne";1980;29.22;1468;42900
"Aisne";1981;31.01;1468;45519.38
"Aisne";1982;110.79;1474;163309.3
"Aisne";1983;117.37;1770;207751.94
"Aisne";1984;67.07;1886;126490.7
"Aisne";1985;48.57;1900;92275.19
"Aisne";1986;98.97;2067;204573.64
"Aisne";1987;83.72;2112;176818.6
"Aisne";1988;66.5;2180;144961.24
"Aisne";1989;68.5;2316;158640
"Aisne";1990;81.81;2405;196761
"Aisne";1991;62.67;2432;152405
"Aisne";1992;76;2500;190000
"Aisne";1993;56.03;2595;145385
"Aisne";1994;62.51;2687;167975
"Aisne";1995;69.01;2690;185630
"Aisne";1996;63.65;2761;175726
"Aisne";1997;55.97;2026;113393
"Aisne";1998;81.94;2039;167079
"Aisne";1999;81.22;2040;165680
"Aisne";2000;83.93;2040;171223
"Aisne";2001;75.08;2045;153535
"Aisne";2002;80.45;2072;166693
"Aisne";2003;66.51;2104;139946
"Aisne";2004;98.55;2143;211185
"Aisne";2005;93.2;2191;204194
"Aisne";2006;92.42;2236;206650
"Aisne";2007;89.11;2287;203800
"Aisne";2008;89.14;2327;207428
"Aisne";2009;81.02;2362;191380
"Aisne";2010;76.95;2400;184670
"Aisne";2011;90.1;2433;219212
"Aisne";2012;49.52;2454;121526
"Aisne";2013;87.91;2465;216694
"Aisne";2014;84;2496;208945
"Aisne";2015;74;2441;179477
"Aisne";2016;63;2520;157964
"Allier";1900;31.71;13700;434430
"Allier";1901;52.42;12400;650000
"Allier";1902;35.24;14374;506576
"Allier";1903;29.08;13573;394728
"Allier";1904;31.12;15355;477847
"Allier";1905;61.24;15532;NA
"Allier";1906;26.18;14982;392200
"Allier";1907;44.04;12815;564345
"Allier";1908;43.92;12694;557476
"Allier";1909;16.2;12847;208070
"Allier";1910;1.75;12484;21889
"Allier";1911;16.12;12796;206290
"Allier";1912;34.79;11299;393113
"Allier";1913;17.89;10989;196555
"Allier";1914;22.97;10881;249986
"Allier";1915;7.53;10693;80467
"Allier";1916;16.66;10308;171781
"Allier";1917;7.7;10257;79004
"Allier";1918;29.32;9789;286975
"Allier";1919;46.68;9406;439110
"Allier";1920;38.53;9561;368370
"Allier";1921;29.87;10000;298700
"Allier";1922;57;10030;571710
"Allier";1923;37.63;10100;380060
"Allier";1924;62;10160;629920
"Allier";1925;38.9;9970;387830
"Allier";1926;30;9930;297900
"Allier";1927;25;10700;267500
"Allier";1928;22;9300;204600
"Allier";1929;18.9;8460;159890
"Allier";1930;8;8200;65600
"Allier";1931;35;8400;294000
"Allier";1932;50;8400;420000
"Allier";1933;27;8100;218700
"Allier";1934;60;8150;489000
"Allier";1935;65;8200;533000
"Allier";1936;40;8200;328000
"Allier";1937;27;8000;216000
"Allier";1938;30;8095;242850
"Allier";1939;36.6;8095;296241
"Allier";1940;NA;8095;72855
"Allier";1941;25;7945;198625
"Allier";1942;18;7250;130500
"Allier";1943;20;7280;145600
"Allier";1944;25;7000;175000
"Allier";1945;18;7050;126900
"Allier";1946;22;7100;156200
"Allier";1947;25;7200;180000
"Allier";1948;31.99;7220;231000
"Allier";1949;29;7220;209380
"Allier";1950;33.53;6800;228000
"Allier";1951;22.61;6363;143879
"Allier";1952;30.31;6500;197000
"Allier";1953;26.26;5979;156982
"Allier";1954;33.79;6211;209858
"Allier";1955;34.18;6130;209514
"Allier";1956;25.17;5666;142603
"Allier";1957;17.81;5085;90580
"Allier";1958;31.27;5184;162123
"Allier";1959;29.75;5200;154700
"Allier";1960;43.66;4700;205200
"Allier";1961;28.57;6300;180000
"Allier";1962;34.76;5900;205100
"Allier";1963;26.48;6400;169500
"Allier";1964;30.03;6100;183200
"Allier";1965;33.09;5400;178700
"Allier";1966;43;4200;180600
"Allier";1967;33.62;4200;141200
"Allier";1968;36.43;4900;178500
"Allier";1969;34.05;4000;136200
"Allier";1970;41.47;3800;157600
"Allier";1971;25.24;3300;83300
"Allier";1972;33.7;3300;111200
"Allier";1973;42.68;3285;140200
"Allier";1974;36.42;2985;108700
"Allier";1975;33.19;2880;95600
"Allier";1976;32.53;2880;93700
"Allier";1977;NA;2875;50000
"Allier";1978;34.53;2450;84600
"Allier";1979;30.21;2440;73720.93
"Allier";1980;30.33;2120;64300
"Allier";1981;NA;2120;29581.4
"Allier";1982;45.74;1810;82782.95
"Allier";1983;41.09;1780;73131.78
