"department";"year";"yield";"area";"production"
"Ain";1900;1.28;3850;4928
"Ain";1901;0.89893;5600;5034
"Ain";1902;1.12644;3272;3685.7
"Ain";1903;1.06817;3120;3332.7
"Ain";1904;0.936;3167;2964.3
"Ain";1905;1.02999;3181;3276.4
"Ain";1906;0.86799;3305;2868.7
"Ain";1907;1.10799;3355;3717.3
"Ain";1908;1.13814;3330;3790
"Ain";1909;1.4273;3370;4810
"Ain";1910;1.2926;3110;4020
"Ain";1911;1.35932;2950;4010
"Ain";1912;1.28235;3400;4360
"Ain";1913;1.15592;3380;3907
"Ain";1914;0.92814;3493;3242
"Ain";1915;0.84095;3370;2834
"Ain";1916;0.72908;3060;2231
"Ain";1917;0.62958;2840;1788
"Ain";1918;1.17402;2040;2395
"Ain";1919;1.05781;1920;2031
"Ain";1920;1.05619;2100;2218
"Ain";1921;0.89594;2710;2428
"Ain";1922;1.2358;2430;3003
"Ain";1923;1.41379;2320;3280
"Ain";1924;0.975;2240;2184
"Ain";1925;0.95676;2220;2124
"Ain";1926;1.05614;1710;1806
"Ain";1927;1.13879;1650;1879
"Ain";1928;0.98986;2170;2148
"Ain";1929;1.4;2260;3164
"Ain";1930;0.7;2540;1778
"Ain";1931;1.15025;2010;2312
"Ain";1932;1.24776;2010;2508
"Ain";1933;1.19323;1920;2291
"Ain";1934;0.8;1990;1592
"Ain";1935;0.66098;2050;1355
"Ain";1936;0.8;2600;2080
"Ain";1937;1.1;2050;2255
"Ain";1938;1.2;2016;2419.2
"Ain";1939;1.3;1749;2273.7
"Ain";1940;1.4;1763;2468.2
"Ain";1941;0.88242;1854;1636
"Ain";1942;0.9;2074;1866.6
"Ain";1943;1.02938;2308;2375.8
"Ain";1944;1.01354;2090;2118.3
"Ain";1945;1;2850;2850
"Ain";1946;1.10096;3021;3326
"Ain";1947;1;3041;3041
"Ain";1948;1;3000;3000
"Ain";1949;1.13333;3000;3400
"Ain";1950;1.20645;3100;3740
"Ain";1951;1.23438;3200;3950
"Ain";1952;1.33333;3300;4400
