"department";"year";"yield";"area";"production"
"Ain";1900;0.746;19502;14548.5
"Ain";1901;0.76436;15600;11924
"Ain";1902;0.87651;18811;16488
"Ain";1903;1.134;19117;21678.7
"Ain";1904;1.134;19117;21678.7
"Ain";1905;1.134;19117;21678.7
"Ain";1906;0.746;19502;14548.5
"Ain";1907;0.931;18907;17602.4
"Ain";1908;0.90499;19630;17765
"Ain";1909;1.18894;19160;22780
"Ain";1910;1.21999;19910;24290
"Ain";1911;0.09902;20500;2030
"Ain";1912;1.10892;21300;23620
"Ain";1913;0.88547;21340;18896
"Ain";1914;1.02001;21140;21563
"Ain";1915;1.1;20850;22935
"Ain";1916;0.93502;20330;19009
"Ain";1917;1;21610;21610
"Ain";1918;1.02901;18410;18944
"Ain";1919;0.72002;18330;13198
"Ain";1920;0.68001;18810;12791
"Ain";1921;0.77397;20940;16207
"Ain";1922;0.69297;20350;14102
"Ain";1923;1.02001;21640;22073
"Ain";1924;0.81002;20360;16492
"Ain";1925;0.92001;20090;18483
"Ain";1926;1.37999;20040;27655
"Ain";1927;1.31599;19830;26096
"Ain";1928;1.17501;20170;23700
"Ain";1929;1.24798;18360;22913
"Ain";1930;0.592;18380;10881
"Ain";1931;1.34399;17980;24165
"Ain";1932;1.265;18430;23314
"Ain";1933;1.397;18680;26096
"Ain";1934;0.69698;19180;13368
"Ain";1935;0.55999;18720;10483
"Ain";1936;1.1;17630;19393
"Ain";1937;1.3;18510;24063
"Ain";1938;1.4;18863;26408.2
"Ain";1939;1.4;17905;25067
"Ain";1940;1.7;17134;29127.8
"Ain";1941;0.73607;11578;8522.2
"Ain";1942;0.91995;10960;10082.6
"Ain";1943;1;10150;10150
"Ain";1944;0.70888;9078;6435.2
"Ain";1945;0.9;13970;12573
"Ain";1946;1;14903;14903
"Ain";1947;0.9109;12686;11555.7
"Ain";1948;1.00897;14500;14630
"Ain";1949;1.00909;14300;14430
"Ain";1950;1.11056;14200;15770
"Ain";1951;1.12676;14200;16000
"Ain";1952;1.04453;13700;14310
"Ain";1953;1.53162;13600;20830
"Ain";1954;1.24667;13500;16830
"Ain";1955;1.5148;13850;20980
"Ain";1956;1;23500;23500
"Ain";1957;1.8;13000;23400
"Ain";1958;1.6;14000;22400
"Ain";1959;1;13000;13000
"Ain";1960;0.7;13000;9100
"Ain";1961;1.3125;16000;21000
"Ain";1962;1.05455;11000;11600
"Ain";1963;1.21429;14000;17000
"Ain";1964;1.04556;9000;9410
"Ain";1965;1.00375;8000;8030
"Ain";1966;1.01125;8000;8090
"Ain";1967;1.62727;11000;17900
"Ain";1968;1.71053;9500;16250
"Ain";1969;1.70625;8000;13650
"Ain";1970;1.82;5000;9100
"Ain";1971;2.11923;5200;11020
"Ain";1972;2.42;5000;12100
"Ain";1973;2.42;5000;12100
"Ain";1974;2.615;4000;10460
"Ain";1975;2.604;5000;13020
"Ain";1976;1.636;5000;8180
"Ain";1977;1.85333;3000;5560
"Ain";1978;3.02917;3874;11735
"Ain";1979;2.91579;3800;11080
"Ain";1980;3.26055;3815;12439
"Ain";1981;3.36667;3600;12120
"Ain";1982;3.05;4000;12200
"Ain";1983;2.05455;2200;4520
"Ain";1984;3.52432;3700;13040
"Ain";1985;3.00857;3500;10530
"Ain";1986;2.62963;2700;7100
"Ain";1987;1.02857;2100;2160
"Ain";1988;3.15385;2600;8200
"Ain";1989;2.84;2000;5680
"Ain";1990;3.20678;2256;7234.5
"Ain";1991;3.41707;2086;7128
"Ain";1992;3.68849;2154;7945
"Ain";1993;3.84597;2306;8868.8
"Ain";1994;3.6;2524;9086.4
"Ain";1995;3.66936;1361;4994
"Ain";1996;4.41674;1362;6015.6
"Ain";1997;4.49609;1611;7243.2
"Ain";1998;4.89959;1449;7099.5
"Ain";1999;3.96667;1200;4760
"Ain";2000;4.46667;1200;5360
"Ain";2001;3.79611;694;2634.5
"Ain";2002;4.72094;955;4508.5
"Ain";2003;2.90106;1797;5213.2
"Ain";2004;4.73772;1506;7135
"Ain";2005;4;863;3452
"Ain";2006;4.3;947;4072.1
"Ain";2007;4;889;3556
"Ain";2008;4.45242;683;3041
"Ain";2009;4.87885;993;4844.7
"Ain";2010;4.88125;832;4061.2
"Ain";2011;4.04167;720;2910
"Ain";2012;4.69355;620;2910
"Ain";2013;4.18382;680;2845
"Ain";2014;4.4;870;3870
"Ain";2015;4.2;700;2960
"Ain";2016;3;510;1530
"Ain";2017;5.2;960;4992
"Ain";2018;5.32;1020;5426.4
"Aisne";1900;1.6;95489;152782.4
"Aisne";1901;1.5;102228;153342
"Aisne";1902;1.64618;98910;162823.5
"Aisne";1903;1.53;93061;142383.3
"Aisne";1904;1.53;93061;142383.3
"Aisne";1905;1.53;93061;142383.3
"Aisne";1906;1.6;95489;152782.4
"Aisne";1907;1.71;93614;160079.9
"Aisne";1908;1.688;97590;164732
"Aisne";1909;1.95943;98100;192220
"Aisne";1910;1.60995;97450;156890
"Aisne";1911;1.68499;99330;167370
"Aisne";1912;1.81977;99430;180940
"Aisne";1913;2.157;98830;213176
"Aisne";1914;2.3;29000;66700
"Aisne";1915;1.95002;26810;52280
"Aisne";1916;1.7;26290;44693
"Aisne";1917;1.6;22650;36240
"Aisne";1918;0.72003;14680;10570
"Aisne";1919;0.47;20000;9400
"Aisne";1920;1.462;71500;104533
"Aisne";1921;1.24799;85530;106741
"Aisne";1922;1.968;101840;200421
"Aisne";1923;2.009;101920;204757
"Aisne";1924;1.647;101360;166940
"Aisne";1925;1.997;98130;195966
"Aisne";1926;2.4;95680;229632
"Aisne";1927;2.145;94050;201737
"Aisne";1928;1.945;94590;183978
"Aisne";1929;2.03598;92860;189061
"Aisne";1930;0.559;96410;53893
"Aisne";1931;0.63;95830;60373
"Aisne";1932;1.575;89640;141183
"Aisne";1933;2.2;89800;197560
"Aisne";1934;2.16;90770;196063
"Aisne";1935;1.728;87220;150716
"Aisne";1936;1.4;100500;140700
"Aisne";1937;1.6;83030;132848
"Aisne";1938;2.3;84109;193450.7
"Aisne";1939;2.5;84709;211772.5
"Aisne";1940;1.2;65940;79128
"Aisne";1941;1.6;66000;105600
"Aisne";1942;1.49528;72000;107660
"Aisne";1943;1.99583;72000;143700
"Aisne";1944;1.39452;73000;101800
"Aisne";1945;1.3;70000;91000
"Aisne";1946;1.6;66790;106864
"Aisne";1947;1.1;66000;72600
"Aisne";1948;1.3;60000;78000
"Aisne";1949;1.8;56100;100980
"Aisne";1950;1.7;52800;89760
"Aisne";1951;2;52000;104000
"Aisne";1952;1.8;48000;86400
"Aisne";1953;2.2;51200;112640
"Aisne";1954;3.3;46200;152460
"Aisne";1955;3.51;40000;140400
"Aisne";1956;3.5;40000;140000
"Aisne";1957;2.5;20000;50000
"Aisne";1958;3;18000;54000
"Aisne";1959;3;22000;66000
"Aisne";1960;2.8;22000;61600
"Aisne";1961;2.8;20000;56000
"Aisne";1962;3;19000;57000
"Aisne";1963;3.19;20000;63800
"Aisne";1964;3.00092;10900;32710
"Aisne";1965;2.98667;10500;31360
"Aisne";1966;2.99346;10700;32030
"Aisne";1967;3.29053;9500;31260
"Aisne";1968;3.18605;8600;27400
"Aisne";1969;3.19697;6600;21100
"Aisne";1970;3.48;6000;20880
"Aisne";1971;4.20156;6400;26890
"Aisne";1972;4.03036;5600;22570
"Aisne";1973;4.49926;4743;21340
"Aisne";1974;3.8016;4000;15206.4
"Aisne";1975;3.59984;4953;17830
"Aisne";1976;2.99932;4400;13197
"Aisne";1977;3.79956;5000;18997.8
"Aisne";1978;4.5814;5000;22907
"Aisne";1979;4.81818;3410;16430
"Aisne";1980;4.78478;4100;19617.6
"Aisne";1981;4.57143;3500;16000
"Aisne";1982;4.65128;3900;18140
"Aisne";1983;4.82;4000;19280
"Aisne";1984;5.55128;3900;21650
"Aisne";1985;5.50617;4050;22300
"Aisne";1986;5;3500;17500
"Aisne";1987;4.5;3500;15750
"Aisne";1988;5;2300;11500
"Aisne";1989;4.13636;2200;9100
"Aisne";1990;4;1500;6000
"Aisne";1991;5.22;1000;5220
"Aisne";1992;5.55;800;4440
"Aisne";1993;5.6;1000;5600
"Aisne";1994;5.2;1000;5200
"Aisne";1995;5.2;1000;5200
"Aisne";1996;6;1000;6000
"Aisne";1997;6.01667;1200;7220
"Aisne";1998;6.32667;1500;9490
"Aisne";1999;6.4;1200;7680
"Aisne";2000;6;1100;6600
"Aisne";2001;5.7;2066;11776.2
"Aisne";2002;6.5;2603;16919.5
"Aisne";2003;6.45528;2337;15086
"Aisne";2004;6.82709;1565;10684.4
"Aisne";2005;6.2;1182;7328.4
"Aisne";2006;5.4;1537;8299.8
"Aisne";2007;4.5;1431;6439.5
"Aisne";2008;5.8;1385;8033
"Aisne";2009;6.29011;1759;11064.3
"Aisne";2010;5.5;1585;8717.5
"Aisne";2011;5.1;1246;6354.6
"Aisne";2012;6.22787;1360;8469.9
"Aisne";2013;6.23114;1933;12044.8
"Aisne";2014;6;1940;11700
"Aisne";2015;5.9;1884;11171.1
"Aisne";2016;5.95;2100;12495
"Aisne";2017;5.73;2250;12892.5
"Aisne";2018;5.93;2075;12304.75
"Allier";1900;0.424;60529;25664.3
"Allier";1901;0.76476;63530;48585
"Allier";1902;0.8136;66060;53746.5
"Allier";1903;0.793;60262;47787.8
"Allier";1904;0.793;60262;47787.8
"Allier";1905;0.793;60262;47787.8
"Allier";1906;0.424;60529;25664.3
"Allier";1907;0.845;60908;51467.3
"Allier";1908;0.69101;59150;40873
"Allier";1909;0.439;58930;25870
"Allier";1910;0.838;59260;49660
"Allier";1911;0.86496;59760;51690
"Allier";1912;1.50573;59360;89380
"Allier";1913;1.68301;55900;94080
"Allier";1914;0.96401;55927;53914
"Allier";1915;0.97501;52100;50798
"Allier";1916;1.027;49290;50621
"Allier";1917;0.86501;39840;34462
"Allier";1918;0.98;45190;44286
"Allier";1919;0.69399;40610;28183
"Allier";1920;1.28099;53030;67931
"Allier";1921;0.784;52950;41513
"Allier";1922;0.706;52210;36860
"Allier";1923;0.474;53430;25326
"Allier";1924;0.81;53020;42946
"Allier";1925;0.92699;50650;46952
"Allier";1926;1.09799;49850;54735
"Allier";1927;1.05699;49500;52321
"Allier";1928;0.68801;50200;34538
"Allier";1929;1.388;46590;64667
"Allier";1930;1.07901;46500;50174
"Allier";1931;1.21501;48500;58928
"Allier";1932;1.242;45500;56511
"Allier";1933;1.584;48300;76507
"Allier";1934;1.1;42000;46200
"Allier";1935;1.032;40000;41280
"Allier";1936;1.1;40000;44000
"Allier";1937;1.25;39500;49375
"Allier";1938;1.5;39500;59250
"Allier";1939;1.3;39000;50700
"Allier";1940;0.84839;31000;26300
"Allier";1941;0.88596;28500;25250
"Allier";1942;0.80962;26000;21050
"Allier";1943;0.73;28100;20513
"Allier";1944;0.65;27200;17680
"Allier";1945;0.65;30550;19857.5
"Allier";1946;1.2;32000;38400
"Allier";1947;0.6;31000;18600
"Allier";1948;1.2;31000;37200
"Allier";1949;0.86129;31000;26700
"Allier";1950;1.2;31000;37200
"Allier";1951;1.3;29500;38350
"Allier";1952;0.9931;29000;28800
"Allier";1953;1.1;30500;33550
"Allier";1954;1.5;29000;43500
"Allier";1955;1.4;29000;40600
"Allier";1956;1.865;40000;74600
"Allier";1957;1.4069;29000;40800
"Allier";1958;1.62;25000;40500
"Allier";1959;1.9;25000;47500
"Allier";1960;2.004;25000;50100
"Allier";1961;1.6;28000;44800
"Allier";1962;1.8;21000;37800
"Allier";1963;1.86;20000;37200
"Allier";1964;1.925;12000;23100
"Allier";1965;2.09917;12000;25190
"Allier";1966;1.8;12000;21600
"Allier";1967;2.4;12000;28800
"Allier";1968;2.2;12000;26400
"Allier";1969;2;12000;24000
"Allier";1970;2.2;9000;19800
"Allier";1971;2.8;12000;33600
"Allier";1972;3;11000;33000
"Allier";1973;3;10000;30000
"Allier";1974;3;11000;33000
"Allier";1975;3;11000;33000
"Allier";1976;2.39442;8240;19730
"Allier";1977;1.97957;8097;16028.6
"Allier";1978;2.5744;8266;21280
"Allier";1979;3;10000;30000
"Allier";1980;3.68857;13165;48560
"Allier";1981;2.90466;8542;24811.6
"Allier";1982;3.29124;12234;40265
"Allier";1983;3.02904;9296;28158
"Allier";1984;3.56552;12805;45656.5
"Allier";1985;3.29409;12821;42233.5
"Allier";1986;1.80516;7052;12730
"Allier";1987;2.14365;7066;15147
"Allier";1988;3.7261;5679;21160.5
"Allier";1989;3.74289;7069;26458.5
"Allier";1990;3.93541;6047;23797.4
"Allier";1991;3.41354;4054;13838.5
"Allier";1992;3.60493;3041;10962.6
"Allier";1993;3.91818;5500;21550
"Allier";1994;3.06667;3000;9200
"Allier";1995;3.76522;3005;11314.5
"Allier";1996;4.48;2500;11200
"Allier";1997;3.94;2500;9850
"Allier";1998;4.7254;2520;11908
"Allier";1999;4.15;2000;8300
"Allier";2000;4.401;2005;8824
"Allier";2001;3.52933;2032;7171.6
"Allier";2002;4.13632;3034;12549.6
"Allier";2003;2.38966;2900;6930
"Allier";2004;3.845;2000;7690
"Allier";2005;4.41667;1800;7950
"Allier";2006;3.2763;1730;5668
"Allier";2007;3.59412;1700;6110
"Allier";2008;3.7;1800;6660
"Allier";2009;4.21176;2550;10740
"Allier";2010;3.9;1350;5265
"Allier";2011;3.06667;1200;3680
"Allier";2012;3.92105;950;3725
"Allier";2013;3.83636;1100;4220
"Allier";2014;3.6;1350;4923
"Allier";2015;3.8;990;3807
"Allier";2016;4.08;800;3264
"Allier";2017;4.69;1450;6800.5
"Allier";2018;3.91;1040;4066.4
"Alpes_de_Haute_Provence";1900;0.65799;7205;4740.8
"Alpes_de_Haute_Provence";1901;0.74141;5008;3713
"Alpes_de_Haute_Provence";1902;0.65919;6033;3976.9
"Alpes_de_Haute_Provence";1903;0.501;6914;3463.9
"Alpes_de_Haute_Provence";1904;0.501;6914;3463.9
"Alpes_de_Haute_Provence";1905;0.501;6914;3463.9
"Alpes_de_Haute_Provence";1906;0.65799;7205;4740.8
"Alpes_de_Haute_Provence";1907;0.84599;6727;5691
"Alpes_de_Haute_Provence";1908;0.70293;6820;4794
"Alpes_de_Haute_Provence";1909;0.71799;6560;4710
"Alpes_de_Haute_Provence";1910;0.75;6960;5220
"Alpes_de_Haute_Provence";1911;0.71965;6920;4980
"Alpes_de_Haute_Provence";1912;0.71069;6360;4520
"Alpes_de_Haute_Provence";1913;0.72006;6880;4954
"Alpes_de_Haute_Provence";1914;0.62402;6104;3809
"Alpes_de_Haute_Provence";1915;0.47992;4930;2366
"Alpes_de_Haute_Provence";1916;0.6;4930;2958
"Alpes_de_Haute_Provence";1917;0.54988;4330;2381
"Alpes_de_Haute_Provence";1918;0.7;3330;2331
"Alpes_de_Haute_Provence";1919;0.6;4480;2688
"Alpes_de_Haute_Provence";1920;0.8;5240;4192
"Alpes_de_Haute_Provence";1921;0.73492;5240;3851
"Alpes_de_Haute_Provence";1922;0.6719;4200;2822
"Alpes_de_Haute_Provence";1923;1.19896;4800;5755
"Alpes_de_Haute_Provence";1924;0.72;4800;3456
"Alpes_de_Haute_Provence";1925;1.2;5000;6000
"Alpes_de_Haute_Provence";1926;1.3;5000;6500
"Alpes_de_Haute_Provence";1927;1.2;5600;6720
"Alpes_de_Haute_Provence";1928;1.2;5600;6720
"Alpes_de_Haute_Provence";1929;1.62788;4160;6772
"Alpes_de_Haute_Provence";1930;0.87404;4160;3636
"Alpes_de_Haute_Provence";1931;1.2;4160;4992
"Alpes_de_Haute_Provence";1932;1.10405;4200;4637
"Alpes_de_Haute_Provence";1933;1.2;3320;3984
"Alpes_de_Haute_Provence";1934;1.2;3200;3840
"Alpes_de_Haute_Provence";1935;1.2;3200;3840
"Alpes_de_Haute_Provence";1936;1.25014;3490;4363
"Alpes_de_Haute_Provence";1937;1.7;3500;5950
"Alpes_de_Haute_Provence";1938;1.62;3260;5281.2
"Alpes_de_Haute_Provence";1939;1.3;3172;4123.6
"Alpes_de_Haute_Provence";1940;1.2;2322;2786.4
"Alpes_de_Haute_Provence";1941;1.3;2241;2913.3
"Alpes_de_Haute_Provence";1942;0.7;2680;1876
"Alpes_de_Haute_Provence";1943;1;2548;2548
"Alpes_de_Haute_Provence";1944;0.52;2300;1196
"Alpes_de_Haute_Provence";1945;0.5;2550;1275
"Alpes_de_Haute_Provence";1946;1.23929;2800;3470
"Alpes_de_Haute_Provence";1947;1.21786;2800;3410
"Alpes_de_Haute_Provence";1948;1.39545;2200;3070
"Alpes_de_Haute_Provence";1949;1.3;2800;3640
"Alpes_de_Haute_Provence";1950;1.3;2000;2600
"Alpes_de_Haute_Provence";1951;1.4;2000;2800
"Alpes_de_Haute_Provence";1952;1.2;2200;2640
"Alpes_de_Haute_Provence";1953;1.2;2100;2520
"Alpes_de_Haute_Provence";1954;1.2;2000;2400
"Alpes_de_Haute_Provence";1955;0.8;1500;1200
"Alpes_de_Haute_Provence";1956;0.9;1300;1170
"Alpes_de_Haute_Provence";1957;1.2;850;1020
"Alpes_de_Haute_Provence";1958;1;800;800
"Alpes_de_Haute_Provence";1959;1.4;700;980
"Alpes_de_Haute_Provence";1960;1;700;700
"Alpes_de_Haute_Provence";1961;1.22222;900;1100
"Alpes_de_Haute_Provence";1962;1.1;1000;1100
"Alpes_de_Haute_Provence";1963;1.1;1100;1210
"Alpes_de_Haute_Provence";1964;1.02;1000;1020
"Alpes_de_Haute_Provence";1965;1;900;900
"Alpes_de_Haute_Provence";1966;1.34;1000;1340
"Alpes_de_Haute_Provence";1967;1.28;1000;1280
"Alpes_de_Haute_Provence";1968;1.6875;800;1350
"Alpes_de_Haute_Provence";1969;1.75;1000;1750
"Alpes_de_Haute_Provence";1970;1.6;1500;2400
"Alpes_de_Haute_Provence";1971;1.77857;1400;2490
"Alpes_de_Haute_Provence";1972;2.1;1300;2730
"Alpes_de_Haute_Provence";1973;2.06667;1200;2480
"Alpes_de_Haute_Provence";1974;2.20952;1050;2320
"Alpes_de_Haute_Provence";1975;2.25455;1100;2480
"Alpes_de_Haute_Provence";1976;1.8;1000;1800
"Alpes_de_Haute_Provence";1977;2.26;1000;2260
"Alpes_de_Haute_Provence";1978;2.41988;1006;2434.4
"Alpes_de_Haute_Provence";1979;2.1;1000;2100
"Alpes_de_Haute_Provence";1980;2.60909;1100;2870
"Alpes_de_Haute_Provence";1981;2.3;1000;2300
"Alpes_de_Haute_Provence";1982;2.21426;933;2065.9
"Alpes_de_Haute_Provence";1983;2.3;1000;2300
"Alpes_de_Haute_Provence";1984;2.66667;750;2000
"Alpes_de_Haute_Provence";1985;2.59286;700;1815
