"department";"year";"yield";"area";"production"
"Ain";1900;1.44401;95230;137513
"Ain";1901;1.02637;92300;94734
"Ain";1902;0.99449;93150;92636.4
"Ain";1903;1.20303;92714;111537.7
"Ain";1904;0.983;89094;87579.4
"Ain";1905;1.31;89024;116621.4
"Ain";1906;1.26;88921;112040.4
"Ain";1907;1.348;89931;121227
"Ain";1908;1.045;88750;92744
"Ain";1909;1.49502;90400;135150
"Ain";1910;1.04991;88960;93400
"Ain";1911;1.12201;86550;97110
"Ain";1912;1.143;89020;101750
"Ain";1913;1.21;88370;106928
"Ain";1914;0.84252;86360;72760
"Ain";1915;1.083;82120;88936
"Ain";1916;0.87601;75850;66445
"Ain";1917;0.683;61750;42175
"Ain";1918;1.149;60700;69744
"Ain";1919;1.00601;61590;61960
"Ain";1920;0.888;65660;58306
"Ain";1921;1.42399;74520;106116
"Ain";1922;0.888;69510;61725
"Ain";1923;1.09186;71579;78154
"Ain";1924;1.54;70530;108616
"Ain";1925;1.309;70570;92376
"Ain";1926;1.036;56670;58710
"Ain";1927;1.087;58550;63644
"Ain";1928;1.053;56470;59463
"Ain";1929;1.6;60060;96096
"Ain";1930;0.68;60710;41283
"Ain";1931;1.35001;58930;79556
"Ain";1932;1.39499;58330;81370
"Ain";1933;1.44401;57810;83478
"Ain";1934;1.7;57520;97784
"Ain";1935;1.27;55070;69939
"Ain";1936;0.89803;53420;47972.8
"Ain";1937;1.12003;53390;59798.4
"Ain";1938;1.42729;53470;76317.4
"Ain";1939;1.1602;52601;61027.5
"Ain";1940;1.04844;46164;48400
"Ain";1941;1.06906;40253;43032.8
"Ain";1942;0.95446;40927;39063.3
"Ain";1943;1.19862;40293;48296
"Ain";1944;1.27841;38983;49836.1
"Ain";1945;0.9;32450;29205
"Ain";1946;1.2468;39972;49837
"Ain";1947;1.09921;35443;38959.2
"Ain";1948;1.19947;38000;45580
"Ain";1949;1.64861;36000;59350
"Ain";1950;1.64811;37000;60980
"Ain";1951;1.34892;37000;49910
"Ain";1952;1.59784;37000;59120
"Ain";1953;2.29829;35000;80440
"Ain";1954;2.09731;37200;78020
"Ain";1955;1.99785;37200;74320
"Ain";1956;0.84444;9000;7600
"Ain";1957;1.95;32000;62400
"Ain";1958;2.2;35000;77000
"Ain";1959;2.33333;33000;77000
"Ain";1960;2.15143;35000;75300
"Ain";1961;1.89681;25100;47610
"Ain";1962;2.6;38000;98800
"Ain";1963;2.15161;34100;73370
"Ain";1964;2.3;39000;89700
"Ain";1965;2.8;40000;112000
"Ain";1966;2.1;37000;77700
"Ain";1967;3.1;30500;94550
"Ain";1968;3.2;38000;121600
"Ain";1969;2.6;35000;91000
"Ain";1970;2.6;34000;88400
"Ain";1971;3.60365;32900;118560
"Ain";1972;3.8;37000;140600
"Ain";1973;3.8;38000;144400
"Ain";1974;4.10417;41432;170044
"Ain";1975;3.872;25000;96800
"Ain";1976;3.5;40000;140000
"Ain";1977;2.8;41000;114800
"Ain";1978;4.5;35000;157500
"Ain";1979;4.2;37000;155400
"Ain";1980;4.39805;36001;158334.3
"Ain";1981;4.30319;36075;155237.5
"Ain";1982;5;38050;190250
"Ain";1983;3.295;37924;124959.6
"Ain";1984;5.9;40000;236000
"Ain";1985;4.9;40000;196000
"Ain";1986;3.9;38000;148200
"Ain";1987;5;38000;190000
"Ain";1988;4.5;26000;117000
"Ain";1989;5.5;33000;181500
"Ain";1990;4.5;34000;153000
"Ain";1991;6;26000;156000
"Ain";1992;5.8;24000;139200
"Ain";1993;5.37568;18500;99450
"Ain";1994;5.7;17000;96900
"Ain";1995;6.2;24000;148800
"Ain";1996;6.6;25500;168300
"Ain";1997;6.6;25000;165000
"Ain";1998;7.6;28000;212800
"Ain";1999;6.5;27500;178750
"Ain";2000;7.4;27500;203500
"Ain";2001;6;28008;168048
"Ain";2002;7.3;29017;211824.1
"Ain";2003;5.3;24021;127311.3
"Ain";2004;8;28533;228264
"Ain";2005;6.8;27039;183865.2
"Ain";2006;7.2;31555;227196
"Ain";2007;6.2;32065;198803
"Ain";2008;6.3;32075;202072.5
"Ain";2009;6.97126;27140;189200
"Ain";2010;7.19641;33300;239640.3
"Ain";2011;6.98154;32500;226900
"Ain";2012;6.69649;34200;229020
"Ain";2013;6.19733;33755;209191
"Ain";2014;7.2;30030;215791
"Ain";2015;7.2;33780;242910
"Ain";2016;5.5;37335;205342.5
"Ain";2017;7.4;32370;239538
"Ain";2018;6.7;34665;232255.5
"Aisne";1900;1.74005;138460;240927
"Aisne";1901;1.82;139963;254733
"Aisne";1902;1.9629;140220;275237.3
"Aisne";1903;1.98528;135494;268992.9
"Aisne";1904;1.9;139948;265901.2
"Aisne";1905;1.596;139334;222377.1
"Aisne";1906;1.848;144230;266537
"Aisne";1907;1.993;143734;286461.9
"Aisne";1908;1.762;142110;250398
"Aisne";1909;2.02902;136110;276170
"Aisne";1910;1.45003;139680;202540
"Aisne";1911;1.94898;141120;275040
"Aisne";1912;2.05961;142080;292630
"Aisne";1913;1.884;143010;269431
"Aisne";1914;1.91892;37000;71000
"Aisne";1915;1.61001;27380;44082
"Aisne";1916;1.499;28870;43276
"Aisne";1917;1.2;23140;27768
"Aisne";1918;1.17001;14640;17129
"Aisne";1919;0.936;19000;17784
"Aisne";1920;1.18701;80960;96100
"Aisne";1921;1.975;110830;218889
"Aisne";1922;1.65;122690;202438
"Aisne";1923;1.558;126180;196588
"Aisne";1924;1.574;126500;199111
"Aisne";1925;2.109;129230;272546
"Aisne";1926;1.602;115800;185512
"Aisne";1927;1.901;121450;230876
"Aisne";1928;2.1;120390;252819
"Aisne";1929;1.95;116300;226785
"Aisne";1930;1.54;125640;193486
"Aisne";1931;1.68;122870;206422
"Aisne";1932;2.3485;130240;305869
"Aisne";1933;2.63;129000;339270
"Aisne";1934;2.574;128920;331840
"Aisne";1935;1.862;129290;240738
"Aisne";1936;2.1765;125220;272540.8
"Aisne";1937;2.16131;125360;270941.2
"Aisne";1938;2.97716;125527;373714.2
"Aisne";1939;2.82204;115165;325000
"Aisne";1940;1.6;121048;193676.8
"Aisne";1941;1.5;126000;189000
"Aisne";1942;1.68739;119000;200800
"Aisne";1943;2.24081;118600;265760
"Aisne";1944;1.94872;117000;228000
"Aisne";1945;1.65;121000;199650
"Aisne";1946;2.04932;115380;236450
"Aisne";1947;1.4;1e+05;140000
"Aisne";1948;2.4;115000;276000
"Aisne";1949;2.6;110800;288080
"Aisne";1950;2.5;117000;292500
"Aisne";1951;2.8;115000;322000
"Aisne";1952;2.8;118000;330400
"Aisne";1953;2.8;124000;347200
"Aisne";1954;3.65;135000;492750
"Aisne";1955;3.8;136000;516800
"Aisne";1956;3.4;1e+05;340000
"Aisne";1957;3.3;145000;478500
"Aisne";1958;3;144000;432000
"Aisne";1959;3.4;135000;459000
"Aisne";1960;3.24963;135000;438700
"Aisne";1961;3.2;160000;512000
"Aisne";1962;3.9;150000;585000
"Aisne";1963;3.73162;130000;485110
"Aisne";1964;4.22788;132000;558080
"Aisne";1965;3.7919;133300;505460
"Aisne";1966;3.10094;137900;427620
"Aisne";1967;4.79748;131000;628470
"Aisne";1968;4.40424;127400;561100
"Aisne";1969;4.1;134900;553090
"Aisne";1970;4.40031;127900;562800
"Aisne";1971;4.6;138000;634800
"Aisne";1972;5.3031;135600;719100
