department,year,yield,area,production
Ain,2017,7.4,32300.0,239020.0
Ain,2018,6.7,34650.0,232155.0
Aisne,2017,8.4,181700.0,1526280.0
Aisne,2018,8.2,178530.0,1463946.0
Allier,2016,5.2,54500.0,283400.0
Allier,2017,6.05,49900.0,301895.0
Allier,2018,6.0,48300.0,289800.0
Alpes_de_Haute_Provence,2016,3.98,2269.0,9030.62
Alpes_de_Haute_Provence,2017,3.6,2005.0,7218.0
Alpes_de_Haute_Provence,2018,3.38,1533.0,5181.54
Alpes_Maritimes,2016,4.2,8.0,33.6
Alpes_Maritimes,2018,4.0,9.0,36.0
Ardeche,2016,3.8,2420.0,9196.0
Ardeche,2017,3.9,1900.0,7410.0
Ardeche,2018,3.8,1970.0,7486.0
Ardennes,2017,7.9,64500.0,509550.0
Ardennes,2018,7.8,64500.0,503100.0
Ariege,2016,5.5,8460.0,46530.0
Ariege,2017,4.8,7600.0,36480.0
Aube,2017,7.55,106500.0,804075.0
Aube,2018,7.8,106500.0,830700.0
Aude,2016,5.3,4980.0,26394.0
Aude,2017,5.3,4870.0,25811.0
Aude,2018,4.2,5080.0,21336.0
Aveyron,2016,4.9,15375.0,75337.5
Aveyron,2017,4.7,15810.0,74307.0
Aveyron,2018,4.0,16140.0,64560.0
Bas_Rhin,2017,7.8,30300.0,236340.0
Bas_Rhin,2018,7.2,30900.0,222480.0
Bouches_du_Rhone,2016,3.91,1002.0,3917.82
Bouches_du_Rhone,2017,3.7,1000.0,3700.0
Bouches_du_Rhone,2018,3.8,1003.0,3811.4
Calvados,2017,8.2,82700.0,678140.0
Calvados,2018,7.2,83040.0,597888.0
Cantal,2016,5.5,4800.0,26400.0
Cantal,2017,4.6,4650.0,21390.0
Cantal,2018,4.5,4600.0,20700.0
Charente,2016,5.8,63740.0,369692.0
Charente,2017,6.0,61700.0,370200.0
Charente,2018,6.0,60200.0,361200.0
Charente_Maritime,2016,6.7,88500.0,592950.0
Charente_Maritime,2017,6.5,87050.0,565825.0
Charente_Maritime,2018,6.4,85300.0,545920.0
Cher,2017,6.65,106120.0,705698.0
Cher,2018,6.5,96265.0,625722.5
Correze,2017,5.3,3544.0,18783.2
Correze,2018,4.8,3350.0,16080.0
Corse_du_Sud,2016,3.0,3.0,9.0
Corse_du_Sud,2017,3.5,3.0,10.5
Corse_du_Sud,2018,3.5,3.0,10.5
Cote_d_Or,2017,6.65,100300.0,666995.0
Cote_d_Or,2018,6.6,99700.0,658020.0
Cotes_d_Armor,2016,7.05,91000.0,641550.0
Cotes_d_Armor,2017,8.13,89300.0,726009.0
Cotes_d_Armor,2018,6.76,90000.0,608400.0
Creuse,2017,5.3,11900.0,63070.0
Creuse,2018,4.8,12100.0,58080.0
Deux_Sevres,2016,5.6,107650.0,602840.0
Deux_Sevres,2017,6.5,103950.0,675675.0
Deux_Sevres,2018,6.5,101890.0,662285.0
Dordogne,2016,4.9,29400.0,144060.0
Dordogne,2017,5.4,27480.0,148392.0
Dordogne,2018,5.1,26615.0,135736.5
Doubs,2017,6.51,8000.0,52080.0
Doubs,2018,5.87,7400.0,43438.0
Drome,2016,6.0,22490.0,134940.0
Drome,2017,5.8,19200.0,111360.0
