department,year,yield,area,production
Ain,2003,5.3,24021.0,127311.3
Ain,2004,8.0,28533.0,228264.0
Ain,2005,6.8,27039.0,183865.2
Ain,2006,7.2,31555.0,227196.0
Ain,2007,6.2,32065.0,198803.0
Ain,2008,6.3,32075.0,202072.5
Ain,2009,7.0,26620.0,186340.0
Ain,2010,7.2,33237.0,239306.4
Ain,2011,7.0,32300.0,226100.0
Ain,2012,6.7,34100.0,228470.0
Ain,2013,6.2,33680.0,208816.0
Ain,2014,7.2,29780.0,214416.0
Ain,2015,7.2,33600.0,241920.0
Ain,2017,7.4,32300.0,239020.0
Ain,2018,6.7,34650.0,232155.0
Aisne,2003,7.5,171113.0,1283347.5
Aisne,2004,9.2,174604.0,1606356.8
Aisne,2005,8.1,177115.0,1434631.5
Aisne,2006,8.0,176773.0,1414184.0
Aisne,2007,7.6,175630.0,1334788.0
Aisne,2008,8.5,184572.0,1568862.0
Aisne,2009,9.0,173250.0,1559250.0
Aisne,2010,8.37127,176913.0,1480987.2
Aisne,2011,8.2,186197.0,1526815.4
Aisne,2012,8.12438,182094.0,1479400.5
Aisne,2013,9.1,185161.0,1684965.1
Aisne,2014,9.3,187800.0,1746540.0
Aisne,2017,8.4,181700.0,1526280.0
Aisne,2018,8.2,178530.0,1463946.0
Allier,2003,4.5,41531.0,186889.5
Allier,2004,6.6,45500.0,300300.0
Allier,2005,5.9,43500.0,256650.0
Allier,2006,6.0,44000.0,264000.0
Allier,2007,5.1,43000.0,219300.0
Allier,2008,5.6,45600.0,255360.0
Allier,2009,6.8,42700.0,290360.0
Allier,2010,6.5,47300.0,307450.0
Allier,2011,5.3,46300.0,245390.0
Allier,2012,6.5,48200.0,313300.0
Allier,2013,6.4,48800.0,312320.0
Allier,2014,6.5,47900.0,311350.0
Allier,2015,6.2,49300.0,305660.0
Allier,2016,5.2,54500.0,283400.0
Allier,2017,6.05,49900.0,301895.0
Allier,2018,6.0,48300.0,289800.0
Alpes_de_Haute_Provence,2003,2.8,1222.0,3421.6
Alpes_de_Haute_Provence,2004,3.3,1024.0,3379.2
Alpes_de_Haute_Provence,2005,3.5,1030.0,3605.0
Alpes_de_Haute_Provence,2006,3.2,1192.0,3814.4
Alpes_de_Haute_Provence,2007,3.9,1792.0,6988.8
Alpes_de_Haute_Provence,2008,4.0,1841.0,7364.0
Alpes_de_Haute_Provence,2009,3.5,1730.0,6055.0
Alpes_de_Haute_Provence,2010,3.3,1773.0,5850.9
Alpes_de_Haute_Provence,2011,3.6,2521.0,9075.6
Alpes_de_Haute_Provence,2012,4.0,2469.0,9876.0
Alpes_de_Haute_Provence,2013,4.0,2720.0,10880.0
Alpes_de_Haute_Provence,2014,3.4,3009.0,10230.6
Alpes_de_Haute_Provence,2015,2.9,2982.0,8647.8
Alpes_de_Haute_Provence,2016,3.98,2269.0,9030.62
Alpes_de_Haute_Provence,2017,3.6,2005.0,7218.0
Alpes_de_Haute_Provence,2018,3.38,1533.0,5181.54
Alpes_Maritimes,2004,4.0,65.0,260.0
Alpes_Maritimes,2005,4.0,65.0,260.0
Alpes_Maritimes,2006,4.0,15.0,60.0
Alpes_Maritimes,2007,3.5,10.0,35.0
Alpes_Maritimes,2008,4.1,15.0,61.5
Alpes_Maritimes,2009,4.1,3.0,12.3
Alpes_Maritimes,2011,3.8,14.0,53.2
Alpes_Maritimes,2012,4.0,10.0,40.0
Alpes_Maritimes,2013,3.8,8.0,30.4
Alpes_Maritimes,2014,4.0,5.0,20.0
Alpes_Maritimes,2015,4.0,8.0,32.0
Alpes_Maritimes,2016,4.2,8.0,33.6
Alpes_Maritimes,2018,4.0,9.0,36.0
Ardeche,2004,3.5,3304.0,11564.0
Ardeche,2005,3.5,3331.0,11658.5
Ardeche,2006,3.5,2833.0,9915.5
Ardeche,2007,3.5,2856.0,9996.0
Ardeche,2008,4.0,3199.0,12796.0
Ardeche,2009,3.0,2451.0,7353.0
Ardeche,2010,4.0,2849.0,11396.0
Ardeche,2011,3.0,2700.0,8100.0
Ardeche,2012,3.6,2830.0,10188.0
Ardeche,2013,4.0,2760.0,11040.0
Ardeche,2014,3.0,2760.0,8280.0
Ardeche,2015,2.8,2370.0,6636.0
Ardeche,2016,3.8,2420.0,9196.0
Ardeche,2017,3.9,1900.0,7410.0
Ardeche,2018,3.8,1970.0,7486.0
Ardennes,2003,7.0,59565.0,416955.0
Ardennes,2004,8.7,60888.0,529725.6
Ardennes,2005,7.7,61261.0,471709.7
Ardennes,2006,7.5,60632.0,454740.0
Ardennes,2007,6.9,58268.0,402049.2
Ardennes,2008,7.5,60160.0,451200.0
Ardennes,2009,8.1,56986.0,461586.6
Ardennes,2010,7.81,62346.0,486922.3
Ardennes,2011,7.98,62960.0,502420.8
Ardennes,2012,7.07,58100.0,410767.0
Ardennes,2013,7.87,62850.0,494629.5
Ardennes,2014,9.0,63090.0,567179.1
Ardennes,2015,9.2,65070.0,597993.3
Ardennes,2017,7.9,64500.0,509550.0
Ardennes,2018,7.8,64500.0,503100.0
Ariege,2003,4.4,5658.0,24895.2
Ariege,2004,5.0,6239.0,31195.0
Ariege,2005,5.0,5976.0,29880.0
Ariege,2006,5.0,5912.0,29560.0
Ariege,2007,3.9,6055.0,23614.5
Ariege,2008,4.7,7452.0,35024.4
Ariege,2009,4.3,5223.0,22458.9
Ariege,2010,5.3,7050.0,37365.0
Ariege,2011,4.7,7274.0,34187.8
Ariege,2012,5.69996,7669.0,43713.0
Ariege,2013,5.1,8379.0,42732.9
Ariege,2014,5.1,8370.0,42687.0
Ariege,2015,5.3,9000.0,47700.0
Ariege,2016,5.5,8460.0,46530.0
Ariege,2017,4.8,7600.0,36480.0
Aube,2003,6.8,98182.0,667637.6
Aube,2004,8.9,105917.0,942661.3
Aube,2005,8.3,109301.0,907198.3
Aube,2006,7.8,107829.0,841066.2
Aube,2007,7.8,108731.0,848101.8
Aube,2008,7.3,110770.0,808621.0
Aube,2009,8.3,106305.0,882331.5
Aube,2010,7.76,113013.0,876980.9
Aube,2011,7.46,111145.0,829141.7
Aube,2012,7.55,94020.0,709851.0
Aube,2013,7.687,112550.0,865171.9
Aube,2014,8.3,105070.0,872081.0
Aube,2015,8.9,111790.0,991577.3
Aube,2017,7.55,106500.0,804075.0
Aube,2018,7.8,106500.0,830700.0
Aude,2003,4.5,1400.0,6300.0
Aude,2004,5.0,1300.0,6500.0
Aude,2005,4.6,1075.0,4945.0
Aude,2006,4.2,1340.0,5628.0
Aude,2007,4.6,1630.0,7498.0
Aude,2008,5.0,2795.0,13975.0
Aude,2009,4.2,1960.0,8232.0
Aude,2010,4.84375,2240.0,10850.0
Aude,2011,4.5,3750.0,16875.0
Aude,2012,5.7,3770.0,21489.0
Aude,2013,5.8,6600.0,38280.0
Aude,2014,6.0,9300.0,55800.0
Aude,2015,5.2,6980.0,36296.0
Aude,2016,5.3,4980.0,26394.0
Aude,2017,5.3,4870.0,25811.0
Aude,2018,4.2,5080.0,21336.0
Aveyron,2003,4.0,10767.0,43068.0
Aveyron,2004,5.0,11251.0,56255.0
Aveyron,2005,4.9,10610.0,51989.0
Aveyron,2006,3.8,9805.0,37259.0
Aveyron,2007,3.9,8817.0,34386.3
Aveyron,2008,4.8,10755.0,51624.0
Aveyron,2009,5.0,10276.0,51380.0
Aveyron,2010,5.0,11150.0,55750.0
Aveyron,2011,4.2998,10479.0,45057.6
Aveyron,2012,5.35002,10688.0,57181.0
Aveyron,2013,4.5,12065.0,54292.5
Aveyron,2014,4.6,13000.0,59800.0
Aveyron,2015,4.9,13960.0,68404.0
Aveyron,2016,4.9,15375.0,75337.5
Aveyron,2017,4.7,15810.0,74307.0
Aveyron,2018,4.0,16140.0,64560.0
Bas_Rhin,2004,8.3,22515.0,186874.5
Bas_Rhin,2005,7.4,23419.0,173300.6
Bas_Rhin,2006,7.3,24624.0,179755.2
Bas_Rhin,2007,6.6,25929.0,171131.4
Bas_Rhin,2008,7.3,28287.0,206495.1
Bas_Rhin,2009,7.7,27941.0,215145.7
Bas_Rhin,2010,7.2,30199.0,217432.8
Bas_Rhin,2011,6.7,30150.0,202005.0
Bas_Rhin,2012,6.8,20200.0,137360.0
Bas_Rhin,2013,7.2,30200.0,217440.0
Bas_Rhin,2017,7.8,30300.0,236340.0
Bas_Rhin,2018,7.2,30900.0,222480.0
Bouches_du_Rhone,2003,2.8,387.0,1083.6
Bouches_du_Rhone,2004,3.2,258.0,825.6
Bouches_du_Rhone,2005,3.4,277.0,941.8
Bouches_du_Rhone,2006,3.2,335.0,1072.0
Bouches_du_Rhone,2007,3.3,335.0,1105.5
Bouches_du_Rhone,2008,4.2,349.0,1465.8
Bouches_du_Rhone,2009,4.2,239.0,1003.8
Bouches_du_Rhone,2010,4.2,358.0,1503.6
Bouches_du_Rhone,2011,3.9,550.0,2145.0
Bouches_du_Rhone,2012,3.6,661.0,2379.6
Bouches_du_Rhone,2013,4.0,1369.0,5476.0
Bouches_du_Rhone,2014,3.3,1545.0,5098.5
Bouches_du_Rhone,2015,4.0,1561.0,6244.0
Bouches_du_Rhone,2016,3.91,1002.0,3917.82
Bouches_du_Rhone,2017,3.7,1000.0,3700.0
Bouches_du_Rhone,2018,3.8,1003.0,3811.4
Calvados,2003,8.1,72679.0,588699.9
Calvados,2004,8.6,77544.0,666878.4
Calvados,2005,7.7,79217.0,609970.9
Calvados,2006,7.6,77812.0,591371.2
Calvados,2008,8.4,85095.0,714798.0
Calvados,2009,8.2,79642.0,653064.4
Calvados,2010,8.1,79820.0,646542.0
Calvados,2011,7.7,85490.0,658273.0
Calvados,2012,7.9,86300.0,681770.0
Calvados,2013,8.3,82000.0,680600.0
Calvados,2014,8.2,87000.0,713400.0
Calvados,2015,8.6,86990.0,748114.0
Calvados,2017,8.2,82700.0,678140.0
Calvados,2018,7.2,83040.0,597888.0
Cantal,2004,5.5,4700.0,25850.0
Cantal,2005,5.6,5000.0,28000.0
Cantal,2006,4.5,4500.0,20250.0
Cantal,2007,5.0,4000.0,20000.0
Cantal,2008,5.2,4900.0,25480.0
Cantal,2009,5.7,4900.0,27930.0
Cantal,2010,5.8,4800.0,27840.0
Cantal,2011,4.7,4500.0,21150.0
Cantal,2012,5.6,4500.0,25200.0
Cantal,2013,5.7,4800.0,27360.0
Cantal,2014,6.0,5050.0,30300.0
Cantal,2015,5.8,5100.0,29580.0
Cantal,2016,5.5,4800.0,26400.0
Cantal,2017,4.6,4650.0,21390.0
Cantal,2018,4.5,4600.0,20700.0
Charente,2003,5.5,55591.0,305750.5
Charente,2004,6.2,60906.0,377617.2
Charente,2005,5.7,62253.0,354842.1
Charente,2006,6.0,60830.0,364980.0
Charente,2007,5.5,59477.0,327123.5
Charente,2008,6.1,64471.0,393273.1
Charente,2009,6.1,57771.0,352403.1
Charente,2010,5.6,61466.0,344209.6
